"filename", "language", "HTML", "JSON", "PostCSS", "JavaScript", "MS SQL", "comment", "blank", "total"
"d:\TW Pascal\Login.js", "JavaScript", 0, 0, 0, 34, 0, 1, 3, 38
"d:\TW Pascal\Stats.HTML", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TW Pascal\acceuil.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TW Pascal\api\avis.js", "JavaScript", 0, 0, 0, 93, 0, 32, 11, 136
"d:\TW Pascal\avis.html", "HTML", 106, 0, 0, 0, 0, 0, 2, 108
"d:\TW Pascal\create_user.js", "JavaScript", 0, 0, 0, 88, 0, 5, 6, 99
"d:\TW Pascal\css\site.css", "PostCSS", 0, 0, 249, 0, 0, 1, 26, 276
"d:\TW Pascal\effet.js", "JavaScript", 0, 0, 0, 32, 0, 1, 3, 36
"d:\TW Pascal\index.html", "HTML", 969, 0, 0, 0, 0, 5, 27, 1001
"d:\TW Pascal\js\register-client.js", "JavaScript", 0, 0, 0, 31, 0, 0, 1, 32
"d:\TW Pascal\js\register.js", "JavaScript", 0, 0, 0, 34, 0, 3, 5, 42
"d:\TW Pascal\js\site.js", "JavaScript", 0, 0, 0, 20, 0, 3, 2, 25
"d:\TW Pascal\lib\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1, 2
"d:\TW Pascal\lib\bootstrap.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1, 2
"d:\TW Pascal\login.html", "HTML", 205, 0, 0, 0, 0, 0, 3, 208
"d:\TW Pascal\package-lock.json", "JSON", 0, 2561, 0, 0, 0, 0, 1, 2562
"d:\TW Pascal\package.json", "JSON", 0, 11, 0, 0, 0, 0, 1, 12
"d:\TW Pascal\photographie.html", "HTML", 725, 0, 0, 0, 0, 5, 19, 749
"d:\TW Pascal\server.js", "JavaScript", 0, 0, 0, 508, 0, 13, 13, 534
"d:\TW Pascal\sql\create_users.sql", "MS SQL", 0, 0, 0, 0, 6, 0, 1, 7
"Total", "-", 2005, 2572, 249, 840, 6, 71, 128, 5871
